Index,Cathode,O,N,B,S,P,SSA,PV,mic/mes,ID/IG,Elyte,Current collector,Active mass loading,PW,CD,Cs
244,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,3,52.7
245,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,5,49.2
246,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,10,44.5
247,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,15,41.6
248,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,20,41.6
249,CBPC,7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,,1.6,0.2,142.7
250,CBPC,7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,,1.6,0.5,125
251,CBPC,7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,,1.6,1,109.6
252,CBPC,7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,,1.6,2,97.2
253,CBPC,7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,,1.6,3,89.9
254,CBPC,7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,,1.6,5,82.7
255,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,0.1,189.4
256,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,0.2,154.5
257,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,0.5,131.5
258,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,1,130.4
259,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,2,117.9
260,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,3,112.3
261,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,4,107.7
262,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,5,104.9
263,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,7,102.2
264,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1,2,10,100.3
281,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,104.9
282,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,91
283,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,1,84.9
