O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,2,102.5
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,5,90.9
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,10,83.2
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,20,73.8
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,40,63.3
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,60,55.4
5.51,5.19,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,80,46.9
7.41,0.53,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,0.2,94.6
7.41,0.53,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,0.5,84
7.41,0.53,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,0.8,80.3
7.41,0.53,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,1,77.9
7.41,0.53,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,2,75
7.41,0.53,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,5,71.3
7.41,0.53,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,8,67.5
7.41,0.53,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,10,65.7
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,0.3,98.2
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,0.5,94.2
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,1,89.5
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,3,80.1
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,5,76.2
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,8,73
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,10,67.9
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,20,61.2
3.37,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,30,56.4
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,0.3,111.6
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,0.5,105.1
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,1,102
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,3,96.6
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,5,92.4
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,8,90
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,10,88.5
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,20,79.9
2.75,0.95,1687.1,1.75,0.101,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,30,72.4
