O,N,B,S,P,SSA,PV,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,DV,Current density,Cs
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1,70.3
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Ti foil,2,1.8,2,70.5
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,4,70.8
5.5,2.53,0,0,0,947,0.54,1,0.855,1M ZnSO4,stainless-steel foil,,1.6,20,71
8.2,0,0,0,0,1500,0.78,2.25,1.01,1M ZnSO4,stainless-steel mesh,2,1.6,5,71.1
7.41,0.53,0,0,0,1398.16,0.79,2.038461538,0.7,1M ZnSO4,stainless-steel ,1,1.6,5,71.3
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,1,71.6
1.9,1.3,0,0,0,1317.4,1.384,0.126118796,1.05,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,20,71.9
6.8,0,0,0,0,1410,0.77,1.75,1.09,1M ZnSO4,stainless-steel mesh,2,1.6,50,72
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,7,72
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,2,72.2
7.21,3.67,0,0,0,1777,1.56,2.308,2,3M Zn(CF3SO3)2,stainless-steel mesh,,1.7,20,72.3
2.75,0.95,0,0,0,1687.1,1.75,0.101321586,1.11,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,30,72.4
9.71,5.41,0,0,0,670,0.72,3.071,1.89,3M Zn(CF3SO3)2,stainless-steel mesh,,1.7,1,72.7
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Ti foil,2,1.8,1,72.9
3.37,0,0,0,0,3252.6,3.428,0.110463233,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,8,73
10.36,3.74,1.11,0,0,803.95,0.53,1.944444444,0.75,1M ZnSO4,stainless-steel ,1,1.6,10,73.1
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.2,73.1
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,73.1
4.3,0,0,0,0,1655,0.81,2.522,1.05,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,73.3
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,73.3
7.48,2.67,0,0,0,3553.1,2.071,0.363,2.79,2M ZnSO4,stainless-steel mesh,45,1.6,0.5,73.5
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,10,73.5
12.89,3.05,0,0,0,3224.9,1.93,0.93,0.94,2M ZnSO4,graphite paper,1,1.6,100,73.8
5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless-steel ,1,1.6,20,73.8
6.98,2.3,0,0,0,2353,2.14,0.779,2.18,3M Zn(CF3SO3)2,stainless-steel mesh,,1.7,50,73.9
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,3,74.2
9.44,0.8,0,0,0,2295.3,1.63,1.264,1.18,2M ZnSO4,stainless-steel mesh,,1.6,10,74.4
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,2,74.7
7.41,0.53,0,0,0,1398.16,0.79,2.038461538,0.7,1M ZnSO4,stainless-steel ,1,1.6,2,75
11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2,1.75,10,75
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,1,75
