Index,Cathode,O,N,B,S,P,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,Current collector,mact,DV,I/m,Cs
203,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1,2,1.945,1.6,0.5,85.3
204,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1,2,1.945,1.6,1,80.3
205,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1,2,1.945,1.6,2,74.7
206,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1,2,1.945,1.6,5,68.2
207,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1,2,1.945,1.6,10,61
208,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1,2,1.945,1.6,20,52.8
209,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,1,3,1.35,1.7,0.1,98.4
210,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,1,3,1.35,1.7,0.5,64.3
211,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,1,3,1.35,1.7,1,54.3
212,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,1,3,1.35,1.7,2,45.1
213,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,1,3,1.35,1.7,3,40.3
214,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,1,3,1.35,1.7,4,36.7
215,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,1,3,1.35,1.7,5,33.7
216,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,2,3,1.35,1.7,0.1,161.7
217,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,2,3,1.35,1.7,0.5,75.6
218,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,2,3,1.35,1.7,1,60.2
219,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,2,3,1.35,1.7,2,49.2
220,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,2,3,1.35,1.7,3,43.3
221,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,2,3,1.35,1.7,4,39.7
222,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,2,3,1.35,1.7,5,36.5
223,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,3,3,1.35,1.7,0.1,104
224,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,3,3,1.35,1.7,0.5,62.4
225,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,3,3,1.35,1.7,1,51.3
226,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,3,3,1.35,1.7,2,43.1
227,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,3,3,1.35,1.7,3,38.1
228,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,3,3,1.35,1.7,4,34.6
229,SNPC-800,10.72,2.83,0,0.63,0,909.0 ,0.44,13.667,0.93,3,3,1.35,1.7,5,32.1
230,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2,1,1.0 ,1.7,0.1,230
231,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2,1,1.0 ,1.7,0.2,165
232,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2,1,1.0 ,1.7,0.5,150
233,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2,1,1.0 ,1.7,1,137
234,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2,1,1.0 ,1.7,2,127
235,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2,1,1.0 ,1.7,5,122
236,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2,1,1.0 ,1.7,10,118
237,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,4,1,10.0 ,1.8,1,233
238,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,4,1,10.0 ,1.8,2,212
239,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,4,1,10.0 ,1.8,5,180.5
240,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,4,1,10.0 ,1.8,10,152.5
241,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,4,1,10.0 ,1.8,20,124
