O,N,B,S,P,SSA,Vt,mic/mes,ID/IG,Elyte,CurCol,Active mass loading,DV,I/m,Cs
7.08,0,0,0,0,898.168,0.19,,0.9995,1M ZnSO4,Carbon cloth,,1.6,0.5,51.55555556
7.08,0,0,0,0,898.168,0.19,,0.9995,1M ZnSO4,Carbon cloth,,1.6,0.7,45.11111111
7.08,0,0,0,0,898.168,0.19,,0.9995,1M ZnSO4,Carbon cloth,,1.6,1,40.88888889
7.08,0,0,0,0,898.168,0.19,,0.9995,1M ZnSO4,Carbon cloth,,1.6,3,31.66666667
7.08,0,0,0,0,898.168,0.19,,0.9995,1M ZnSO4,Carbon cloth,,1.6,5,26.22222222
5.27,0,0,0,0,584.052,0.098,,0.9998,1M ZnSO4,Carbon cloth,,1.6,0.5,25.33333333
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,0.1,134.5
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,0.2,110.2
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,0.4,93
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,0.5,86.7
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,1,72.9
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,2,57
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,3,48
20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,4,41.5
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.1,156.54
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.2,132.3
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.3,111.55
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.4,105.4
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.5,98.5
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,1,86.8
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,2,70.5
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,3,59.2
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,4,51.8
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,0.1,84.5
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,0.2,63.4
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,0.4,50.7
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,0.5,45
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,1,34.5
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,2,24.5
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,3,19.7
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,4,17
11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel,2,1.75,0.2,153
11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel,2,1.75,0.5,125
11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel,2,1.75,1,110
11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel,2,1.75,2,98
11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel,2,1.75,5,84
11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel,2,1.75,10,75
6.96,0,0,0,0,829,0.49,0.581,0.852,1M ZnSO4,stainless-steel,,1.6,0.5,93.3
6.96,0,0,0,0,829,0.49,0.581,0.852,1M ZnSO4,stainless-steel,,1.6,20,53.6
5.5,2.53,0,0,0,947,0.54,1,0.855,1M ZnSO4,stainless-steel,,1.6,0.5,117.9
5.5,2.53,0,0,0,947,0.54,1,0.855,1M ZnSO4,stainless-steel,,1.6,20,71
3.67,0,0,0,2.71,1175,0.71,1.367,0.858,1M ZnSO4,stainless-steel,,1.6,0.5,136.2
3.67,0,0,0,2.71,1175,0.71,1.367,0.858,1M ZnSO4,stainless-steel,,1.6,20,75.9
10.41,2.37,0,0,2.1,899,0.52,0.576,0.856,1M ZnSO4,stainless-steel,,1.6,0.5,165.9
10.41,2.37,0,0,2.1,899,0.52,0.576,0.856,1M ZnSO4,stainless-steel,,1.6,20,110.9
,0,0,0,0,627,0.34,16,1.3,2M ZnSO4,stainless-steel,2,1.8,0.2,142.8
,0,0,0,0,627,0.34,16,1.3,2M ZnSO4,stainless-steel,2,1.8,7,7.9
,0,0,0,0,397,0.23,6.667,1.44,2M ZnSO4,stainless-steel,2,1.8,0.2,112.9
,0,0,0,0,563,0.31,14.5,1.39,2M ZnSO4,stainless-steel,2,1.8,0.2,191.1
,0,0,0,0,1141,0.61,14.25,1.38,2M ZnSO4,stainless-steel,2,1.8,0.2,228.7
,0,0,0,0,1141,0.61,14.25,1.38,2M ZnSO4,stainless-steel,2,1.8,7,82.3
,0,0,0,0,1294,0.71,6.889,1.31,2M ZnSO4,stainless-steel,2,1.8,0.2,120.7
,0,0,0,0,1089,0.6,7.571,1.45,2M ZnSO4,stainless-steel,2,1.8,0.2,164.4
,0,0,0,0,1089,0.6,7.571,1.45,2M ZnSO4,stainless-steel,2,1.8,7,50.8
,,0,0,0,1210,,,1.28,2M ZnSO4,Carbon cloth,5,2,0.1,39.1
,,0,0,0,1210,,,1.28,2M ZnSO4,Carbon cloth,5,2,0.2,31.2
,,0,0,0,1210,,,1.28,2M ZnSO4,Carbon cloth,5,2,0.5,22.7
,,0,0,0,1210,,,1.28,2M ZnSO4,Carbon cloth,5,2,1,16.7
,,0,0,0,1210,,,1.28,2M ZnSO4,Carbon cloth,5,2,2,12.5
,,0,0,0,1210,,,1.28,2M ZnSO4,Carbon cloth,5,2,5,9.5
,,0,0,0,1210,,,1.28,2M ZnSO4,Carbon cloth,5,2,10,8.5
9.01,3.67,0,0,0,1739,,,1.54,2M ZnSO4,Carbon cloth,5,2,0.1,232.4
9.01,3.67,0,0,0,1739,,,1.54,2M ZnSO4,Carbon cloth,5,2,0.2,147.1
9.01,3.67,0,0,0,1739,,,1.54,2M ZnSO4,Carbon cloth,5,2,0.5,128.2
9.01,3.67,0,0,0,1739,,,1.54,2M ZnSO4,Carbon cloth,5,2,1,111.4
9.01,3.67,0,0,0,1739,,,1.54,2M ZnSO4,Carbon cloth,5,2,2,100.7
9.01,3.67,0,0,0,1739,,,1.54,2M ZnSO4,Carbon cloth,5,2,5,80.9
9.01,3.67,0,0,0,1739,,,1.54,2M ZnSO4,Carbon cloth,5,2,10,59.6
9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel,2,1.6,0.1,119.9
9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel,2,1.6,0.2,108.3
9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel,2,1.6,0.5,100.2
9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel,2,1.6,1,94.6
9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel,2,1.6,2,90.4
9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel,2,1.6,5,84.8
9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel,2,1.6,20,81.1
8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel,2,1.6,0.1,159.9
8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel,2,1.6,0.2,139.2
8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel,10,1.6,0.5,124.8
8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel,10,1.6,1,116
8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel,10,1.6,2,109.9
8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel,10,1.6,5,101.9
8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel,10,1.6,20,94
5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel,2,1.6,0.1,114.2
5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel,2,1.6,0.2,104.8
5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel,2,1.6,0.5,95.6
5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel,2,1.6,1,90
5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel,2,1.6,2,86.8
5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel,2,1.6,5,82.4
5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel,2,1.6,20,78.5
