O,N,S,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,mact,DV,I/m,Cs
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,0.1,189.4
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,0.2,154.5
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,0.5,131.5
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,1,130.4
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,2,117.9
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,3,112.3
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,4,107.7
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,5,104.9
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,7,102.2
3.9,9.7,0,844,0.41,3.419,0.99,1,1.25,2,10,100.3
